Dep.Var	Stress	Category	Morph.Type	Before	After	Speaker	YOB	Sex	Education	Job	Phoneme.Dep.Var
Realized	Stressed	Function	Mono	Vowel	Pause	BOUF65	1965	F	Educated	White	t--Affricate
Realized	Stressed	Function	Mono	Vowel	Pause	CHIF55	1955	F	Educated	White	t--Fricative
Realized	Stressed	Function	Mono	Vowel	Pause	CLAF52	1952	F	Educated	Service	t--Affricate
Deletion	Stressed	Function	Mono	Vowel	Pause	CLAM73	1973	M	Not Educated	Blue	t--Deletion
Realized	Stressed	Function	Mono	Vowel	Pause	DONF15	1915	F	Not Educated	Service	t--Fricative
Realized	Stressed	Function	Mono	Vowel	Pause	DONM41	1941	M	Not Educated	Blue	t--Fricative
Realized	Stressed	Function	Mono	Vowel	Pause	DONM53	1953	M	Educated	Service	t--Affricate
Deletion	Stressed	Function	Mono	Vowel	Pause	DONM53	1953	M	Educated	Service	t--Deletion
Realized	Stressed	Function	Mono	Vowel	Pause	DONM58	1958	M	Not Educated	Service	t--Fricative
Realized	Stressed	Function	Mono	Vowel	Pause	DOUF46	1946	F	Educated	Service	t--T
Realized	Stressed	Function	Mono	Vowel	Pause	ELLF29	1929	F	Not Educated	Service	t--T
Deletion	Stressed	Function	Mono	Vowel	Pause	ELLF61	1961	F	Educated	White	t--Deletion
Realized	Stressed	Function	Mono	Vowel	Pause	EVAF92	1992	F	Student	Student	t--Fricative
Realized	Stressed	Function	Mono	Vowel	Pause	GARF16	1916	F	Not Educated	Service	t--Affricate
Realized	Stressed	Function	Mono	Vowel	Pause	GARF37	1937	F	Not Educated	Service	t--Ejective
Realized	Stressed	Function	Mono	Vowel	Pause	GARF87	1987	F	Educated	White	t--Glottal Stop
Realized	Stressed	Function	Mono	Vowel	Vowel	GARF87	1987	F	Educated	White	t--Flap
Realized	Stressed	Function	Mono	Vowel	Pause	GARM42	1942	M	Not Educated	Blue	t--Affricate
Deletion	Stressed	Function	Mono	Vowel	Pause	GREF22	1922	F	Not Educated	Service	t--Deletion
Realized	Stressed	Function	Mono	Vowel	Pause	GREM45	1945	M	Not Educated	Blue	t--Fricative
Deletion	Stressed	Function	Mono	Vowel	Pause	HANF83	1983	F	Educated	Service	t--Deletion
Realized	Stressed	Function	Mono	Vowel	Pause	HANF83	1983	F	Educated	Service	t--Fricative
Realized	Stressed	Function	Mono	Vowel	Pause	HOLF49	1949	F	Educated	Service	t--Affricate
Realized	Stressed	Function	Mono	Vowel	Pause	HOLM52	1952	M	Not Educated	Blue	t--Fricative
Realized	Stressed	Function	Mono	Vowel	Pause	HUNF22	1922	F	Educated	Service	t--Affricate
Deletion	Stressed	Function	Mono	Vowel	Pause	INGM84	1984	M	Educated	Service	t--Deletion
Realized	Stressed	Function	Mono	Vowel	H	INGM84	1984	M	Educated	Service	t--Flap
Realized	Stressed	Function	Mono	Vowel	Pause	INGM84	1984	M	Educated	Service	t--Fricative
Realized	Stressed	Function	Mono	Vowel	Pause	INGM87	1987	M	Educated	Service	t--Affricate
Deletion	Stressed	Function	Mono	Vowel	Pause	INGM87	1987	M	Educated	Service	t--Deletion
Realized	Stressed	Function	Mono	Vowel	Pause	KAYF29	1929	F	Not Educated	Service	t--T
Deletion	Stressed	Function	Mono	Vowel	Pause	KAYM29	1929	M	Not Educated	Blue	t--Deletion
