lg,Vowel,Ss,point,VOT,dur,F0,F1,F2,F3
English,i,1,onset,10,119,131,312,2205,2726
English,i,1,midpoint,10,119,131,317,2299,2897
English,i,1,offset,10,119,131,320,2257,2829
English,i,2,onset,13,93,130,304,1995,2383
English,i,2,midpoint,13,93,130,281,2079,2516
English,i,2,offset,13,93,130,256,2064,2462
English,i,3,onset,7,109,129,318,2024,2478
English,i,3,midpoint,7,109,129,300,2180,2628
English,i,3,offset,7,109,129,293,2185,2673
English,ɪ,1,onset,11,123,73,415,1806,2430
English,ɪ,1,midpoint,11,123,73,476,1616,2571
English,ɪ,1,offset,11,123,73,469,1718,2498
English,ɪ,2,onset,5,94,85,357,1615,2322
English,ɪ,2,midpoint,5,94,85,373,1618,2393
English,ɪ,2,offset,5,94,85,369,1607,2384
English,ɪ,3,onset,8,120,86,366,1615,2437
English,ɪ,3,midpoint,8,120,86,374,1561,2472
English,ɪ,3,offset,8,120,86,361,1599,2489
English,e,1,onset,12,119,140,457,1926,2488
English,e,1,midpoint,12,119,140,443,2117,2531
English,e,1,offset,12,119,140,358,2072,2489
English,e,2,onset,4,88,161,468,1666,2318
English,e,2,midpoint,4,88,161,438,1903,2474
English,e,2,offset,4,88,161,274,1868,2445
English,e,3,onset,7,114,195,428,1746,2549
English,e,3,midpoint,7,114,195,411,2020,2508
English,e,3,offset,7,114,195,318,1935,2500
English,ɛ,1,onset,10,110,122,520,1673,2534
English,ɛ,1,midpoint,10,110,122,629,1653,2628
English,ɛ,1,offset,10,110,122,580,1648,2578
English,ɛ,2,onset,5,89,104,513,1482,2488
English,ɛ,2,midpoint,5,89,104,600,1495,2607
English,ɛ,2,offset,5,89,104,496,1507,2535
English,ɛ,3,onset,2,114,118,452,1466,2395
English,ɛ,3,midpoint,2,114,118,552,1575,2533
English,ɛ,3,offset,2,114,118,478,1509,2460
English,æ,1,onset,7,116,165,653,1668,2604
English,æ,1,midpoint,7,116,165,777,1788,2562
English,æ,1,offset,7,116,165,685,1702,2583
English,æ,2,onset,7,84,170,555,1538,2362
English,æ,2,midpoint,7,84,170,690,1563,2423
English,æ,2,offset,7,84,170,615,1546,2447
English,æ,3,onset,12,107,160,548,1474,2294
English,æ,3,midpoint,12,107,160,732,1468,2493
English,æ,3,offset,12,107,160,654,1472,2399
English,a,1,onset,10,115,155,699,1050,2190
English,a,1,midpoint,10,115,155,769,1129,2161
English,a,1,offset,10,115,155,743,1208,2186
English,a,2,onset,10,88,178,581,1052,2217
English,a,2,midpoint,10,88,178,694,1108,2493
English,a,2,offset,10,88,178,652,1161,2473
English,a,3,onset,4,110,172,551,1136,1857
English,a,3,midpoint,4,110,172,681,1190,1968
English,a,3,offset,4,110,172,619,1209,1955
English,ʌ,1,onset,11,116,100,623,1269,2355
English,ʌ,1,midpoint,11,116,100,703,1425,2191
English,ʌ,1,offset,11,116,100,554,1394,2365
English,ʌ,2,onset,19,87,95,519,1048,2364
English,ʌ,2,midpoint,19,87,95,599,1200,2367
English,ʌ,2,offset,19,87,95,485,1236,2356
English,ʌ,3,onset,12,119,96,503,1191,2200
English,ʌ,3,midpoint,12,119,96,562,1249,2348
English,ʌ,3,offset,12,119,96,519,1268,2316
Spanish,i,1,onset,16,191,78,350,2140,2571
Spanish,i,1,midpoint,16,191,78,354,2238,2576
Spanish,i,1,offset,16,191,78,355,2144,2582
Spanish,i,2,onset,12,109,80,264,2074,2705
Spanish,i,2,midpoint,12,109,80,293,2126,2933
Spanish,i,2,offset,12,109,80,229,2072,2761
Spanish,i,3,onset,10,112,77,286,2222,2719
Spanish,i,3,midpoint,10,112,77,292,2295,2773
Spanish,i,3,offset,10,112,77,286,2273,2745
Spanish,e,1,onset,9,168,99,468,1629,2449
Spanish,e,1,midpoint,9,168,99,513,1864,2634
Spanish,e,1,offset,9,168,99,485,1758,2573
Spanish,e,2,onset,15,104,86,492,1838,2332
Spanish,e,2,midpoint,15,104,86,436,1900,2587
Spanish,e,2,offset,15,104,86,393,1822,2475
Spanish,e,3,onset,11,110,85,458,1761,2508
Spanish,e,3,midpoint,11,110,85,457,1903,2751
Spanish,e,3,offset,11,110,85,388,1831,2683
Spanish,a,1,onset,17,166,110,517,1195,2591
Spanish,a,1,midpoint,17,166,110,646,1331,2610
Spanish,a,1,offset,17,166,110,567,1309,2612
Spanish,a,2,onset,6,103,116,652,1148,1933
Spanish,a,2,midpoint,6,103,116,757,1313,2135
Spanish,a,2,offset,6,103,116,584,1257,1992
Spanish,a,3,onset,13,111,100,593,1125,1876
Spanish,a,3,midpoint,13,111,100,705,1308,1982
Spanish,a,3,offset,13,111,100,599,1316,2043
